Mes,Año,Observado,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CESM2-WACCM,CMCC-CM2-SR5,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,EC-Earth3,EC-Earth3-Veg-LR,FGOALS-g3,GFDL-CM4,GFDL-CM4_gr2,GFDL-ESM4,HadGEM3-GC31-LL,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-MM
1,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1979,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1979,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1979,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5.980646162,0,0,0,7.981784085,0,1,0,0,0,0,0,0,0,0
6,1979,0,0,1,0,10,0,18.96258513,0,14.06874089,0,6,0,0,17.98470605,0,0,2.949002861,0,0,0,31.02600574,0,0,0,0,0,0,5.893284406,0,4.984690527
7,1979,0,0,0,32.89866376,36.91897511,0,44.83856643,2,0,0,6,0,0,3.088598935,11.02554375,9,0,0,0,14.08660524,49.20448034,58.97298387,8.01194316,0,3,0,0,0,58.80851417,8
8,1979,0,0,0,0,0,2,1,11.94507449,8.896265957,12.11022448,0,6.987709981,0,30.00658591,0,0,0,3,25.76154731,0,1,7,37.70844458,0,0,2.965476292,8.032930854,24.89744062,0,7
9,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1980,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
3,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1980,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1980,0,0,0,0,0,0,0,0,0,0,0.969739897,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
6,1980,0,0,0,4,2,0,0,6.156529925,7,35.7725065,0,0,0,0,0,0,0,0,68.82170655,4,6,0,0,0,0,0,0,0,0,0
7,1980,40,15.74703532,2,0,8.948032444,0.706086617,100.1316264,6,0,51.89237707,1,11.99496488,3,9.999204778,92,32.07089332,0,0,0,4,3,0,2,17.98974877,0,0,30.11021664,2,21.81888097,6
8,1980,3,0,0,6.938118179,17.17181293,0.197413245,0,0,1,2,12.17166908,0,3.978624428,0,6,0,0,0,0,5.942705008,4,16.03183567,8.127253556,3,19,79.17628889,0,0,0,0
9,1980,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.27180565,0,0,0,0,0
10,1980,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1980,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1981,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1981,0,0,2.036768327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1981,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0
